research_question,objective,question,platform_id,comparability,direct_conditions,completed_trials,required_trials,sufficient_conditions,energy_trials,evidence_status,source_condition_ids,scope_note,limitation
RQ1,Scaling efficiency,How efficiently do transformer workloads scale from one to four H100 GPUs?,h100,exact,13,39,39,13,39,sufficient,E033@h100; E034@h100; E035@h100; E036@h100; E037@h100; E038@h100; E039@h100; E040@h100; E041@h100; E042@h100; E043@h100; E147@h100; E195@h100,Completed evidence is grouped within this platform and comparability class.,The primary question requires H100 scaling evidence; L40S scaling is supporting platform-specific evidence.
RQ1,Scaling efficiency,How efficiently do transformer workloads scale from one to four H100 GPUs?,l40s,capacity_adjusted,2,6,6,2,0,supporting_platform_evidence,E208@l40s; E209@l40s,Collected on L40S as supporting evidence; retain it separately from the H100 research target.,The primary question requires H100 scaling evidence; L40S scaling is supporting platform-specific evidence.
RQ1,Scaling efficiency,How efficiently do transformer workloads scale from one to four H100 GPUs?,l40s,exact,21,63,63,21,33,supporting_platform_evidence,E034@l40s; E035@l40s; E036@l40s; E037@l40s; E038@l40s; E039@l40s; E040@l40s; E041@l40s; E042@l40s; E043@l40s; E045@l40s; E046@l40s; E147@l40s; E171@l40s; E172@l40s; E195@l40s; E216@l40s; E217@l40s; E218@l40s; E219@l40s; E220@l40s,Collected on L40S as supporting evidence; retain it separately from the H100 research target.,The primary question requires H100 scaling evidence; L40S scaling is supporting platform-specific evidence.
RQ2,Throughput-to-memory trade-off,Which distributed training strategy provides the best throughput-to-memory trade-off?,h100,exact,16,48,48,16,48,sufficient,E047@h100; E048@h100; E049@h100; E050@h100; E051@h100; E052@h100; E053@h100; E054@h100; E055@h100; E056@h100; E057@h100; E058@h100; E059@h100; E060@h100; E061@h100; E062@h100,Completed evidence is grouped within this platform and comparability class.,"Only conditions with matching workload, precision, batch semantics, and GPU count are compared."
RQ2,Throughput-to-memory trade-off,Which distributed training strategy provides the best throughput-to-memory trade-off?,l40s,capacity_adjusted,3,9,9,3,0,sufficient,E201@l40s; E202@l40s; E205@l40s,Completed evidence is grouped within this platform and comparability class.,"Only conditions with matching workload, precision, batch semantics, and GPU count are compared."
RQ2,Throughput-to-memory trade-off,Which distributed training strategy provides the best throughput-to-memory trade-off?,l40s,exact,34,102,102,34,12,sufficient,E047@l40s; E048@l40s; E049@l40s; E050@l40s; E051@l40s; E052@l40s; E053@l40s; E054@l40s; E055@l40s; E056@l40s; E057@l40s; E058@l40s; E059@l40s; E060@l40s; E061@l40s; E062@l40s; E063@l40s; E064@l40s; E065@l40s; E066@l40s; E069@l40s; E070@l40s; E071@l40s; E072@l40s; E073@l40s; E074@l40s; E075@l40s; E076@l40s; E077@l40s; E078@l40s; E079@l40s; E080@l40s; E081@l40s; E082@l40s,Completed evidence is grouped within this platform and comparability class.,"Only conditions with matching workload, precision, batch semantics, and GPU count are compared."
RQ3,Precision and quality,What impact do precision and selected quantized formats have on performance and quality?,h100,,0,0,0,0,0,awaiting_evidence,,No direct RQ3 evidence has been collected for h100.,Performance-format evidence alone does not establish application-level quality.
RQ3,Precision and quality,What impact do precision and selected quantized formats have on performance and quality?,l40s,exact,18,54,54,18,6,sufficient,E083@l40s; E084@l40s; E085@l40s; E087@l40s; E088@l40s; E090@l40s; E091@l40s; E092@l40s; E094@l40s; E095@l40s; E149@l40s; E150@l40s; E151@l40s; E173@l40s; E174@l40s; E197@l40s; E198@l40s; E199@l40s,Completed evidence is grouped within this platform and comparability class.,Performance-format evidence alone does not establish application-level quality.
RQ4,Bottlenecks,"How significant are communication, synchronisation, and data movement bottlenecks?",h100,exact,12,36,36,12,36,sufficient,E020@h100; E021@h100; E022@h100; E023@h100; E024@h100; E025@h100; E026@h100; E027@h100; E028@h100; E029@h100; E030@h100; E031@h100,Completed evidence is grouped within this platform and comparability class.,Standalone communication and loader measurements do not by themselves prove in-loop causal attribution.
RQ4,Bottlenecks,"How significant are communication, synchronisation, and data movement bottlenecks?",l40s,exact,28,84,84,28,0,sufficient,E020@l40s; E021@l40s; E022@l40s; E023@l40s; E024@l40s; E025@l40s; E026@l40s; E027@l40s; E028@l40s; E029@l40s; E030@l40s; E031@l40s; E097@l40s; E098@l40s; E099@l40s; E100@l40s; E101@l40s; E102@l40s; E103@l40s; E104@l40s; E105@l40s; E106@l40s; E107@l40s; E108@l40s; E109@l40s; E110@l40s; E111@l40s; E112@l40s,Completed evidence is grouped within this platform and comparability class.,Standalone communication and loader measurements do not by themselves prove in-loop causal attribution.
RQ4,Bottlenecks,"How significant are communication, synchronisation, and data movement bottlenecks?",l40s,platform_specific,4,12,12,4,0,sufficient,E113@l40s; E114@l40s; E117@l40s; E118@l40s,Completed evidence is grouped within this platform and comparability class.,Standalone communication and loader measurements do not by themselves prove in-loop causal attribution.
